,OPER_CAP,SUMMER_CAP,WINTER_CAP,PLAN_CAP,RETIRE_CAP,GEN_UNITS,PLAN_UNIT,RETIR_UNIT,PRIM_FUEL,SEC_FUEL,COAL_USED,NGAS_USED,OIL_USED,CAP_FACTOR,LINES
0,0.0,0.0,0.0,150.0,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
1,2389.4,2488.0,2580.0,0.0,0.0,4,0,0,RC,SUB,9754318,0,14457,0.756347013,1
2,0.0,0.0,0.0,74.9,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
3,1221.6,978.2,1187.2,0.0,0.0,6,0,0,NG,DFO,0,13826100,0,0.229047458,1
4,1.8,1.8,1.8,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.167808219,0
5,1.6,2.0,2.0,0.0,0.0,5,0,0,WAT,NOT AVAILABLE,0,0,0,0.197146119,0
6,2.0,0.0,0.0,0.0,0.0,0,0,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
7,35.3,19.9,19.9,0.0,0.0,4,0,0,WAT,NOT AVAILABLE,0,0,0,0.712667217,1
8,3.0,2.7,2.7,0.0,0.0,3,0,0,SUN,NOT AVAILABLE,0,0,0,0.215837984,0
9,4.5,4.5,4.5,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.173795028,0
10,1.25,0.0,0.0,0.0,0.0,0,0,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
11,1427.6,1285.0,1285.0,0.0,0.0,3,0,0,SUB,BIT,4134810,188536,727,0.703977581,3
12,0.0,0.0,0.0,80.0,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
13,52.0,52.0,52.0,0.0,0.0,2,0,0,WAT,NONE,0,0,0,0.26945469,1
14,3.9,3.9,3.9,0.0,3.2,4,0,3,LFG,NG,0,0,0,0.499736565,0
15,3.0,3.0,3.0,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.292884323,0
16,2.0,2.0,2.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.149200913,0
17,2.5,2.1,2.1,0.0,0.0,1,0,0,WAT,NOT AVAILABLE,0,0,0,0.0,1
18,1616.1,1411.0,1411.0,0.0,8.1,3,0,3,NG,DFO,153070,16409238,904,0.148876733,1
19,2.0,2.0,2.0,0.0,0.0,4,0,0,SUN,NOT AVAILABLE,0,0,0,0.15981735,0
20,1242.0,1244.0,1286.0,0.0,0.0,2,0,0,RC,SUB,3869600,0,7429,0.612694821,1
21,0.0,0.0,0.0,4.8,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
22,5.0,5.0,5.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.168105023,0
23,12.0,10.8,10.8,0.0,0.0,3,0,0,WAT,NOT AVAILABLE,0,0,0,0.484176814,1
24,59.4,59.4,59.4,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.344266485,0
25,0.0,0.0,0.0,8.4,0.0,0,2,0,SUN,MWH,0,0,0,0.0,0
26,30.0,30.0,30.0,0.0,0.0,1,0,0,WND,NOT AVAILABLE,0,0,0,0.200566971,0
27,2.6,2.6,2.6,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.177862662,0
28,21.2,17.6,21.0,0.0,0.0,2,0,0,NG,NOT AVAILABLE,0,1782034,0,0.954917756,1
29,1.2,0.0,0.0,0.0,0.0,0,0,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
30,5.0,5.0,5.0,0.0,0.0,1,0,0,SUN,NOT AVAILABLE,0,0,0,0.185844749,0
31,0.0,0.0,0.0,1.5,0.0,0,1,0,SUN,NOT AVAILABLE,0,0,0,0.0,0
32,5.0,5.0,5.0,0.0,0.0,5,0,0,SUN,NOT AVAILABLE,0,0,0,0.175525114,0
33,644.1,743.1,761.7,0.0,0.0,6,0,0,WAT,NOT AVAILABLE,0,0,0,0.26168098,0
