kode_provinsi;nama_provinsi;kode_kabupaten_kota;nama_kabupaten_kota;kode_kecamatan;nama_kecamatan;kode_desa_kelurahan;nama_desa_kelurahan;kemendagri_kode_kecamatan;kemendagri_nama_kecamatan;kemendagri_kode_desa_kelurahan;kemendagri_nama_desa_kelurahan;tingkat_pendidikan;tahun;id
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201190.0;GUNUNG PUTRI;3201190006.0;WANAHERANG;32.01.02;GUNUNG PUTRI;32.01.02.2001;WANAHERANG;TAMAT SMA/SEDERAJAT;2019;1
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201190.0;GUNUNG PUTRI;3201190010.0;BOJONG KULUR;32.01.02;GUNUNG PUTRI;32.01.02.2002;BOJONG KULUR;TAMAT SMA/SEDERAJAT;2019;2
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201190.0;GUNUNG PUTRI;3201190009.0;CIANGSANA;32.01.02;GUNUNG PUTRI;32.01.02.2003;CIANGSANA;TAMAT SMA/SEDERAJAT;2019;3
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201190.0;GUNUNG PUTRI;3201190002.0;GUNUNG PUTRI;32.01.02;GUNUNG PUTRI;32.01.02.2004;GUNUNG PUTRI;TAMAT SMA/SEDERAJAT;2019;4
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201190.0;GUNUNG PUTRI;3201190004.0;BOJONG NANGKA;32.01.02;GUNUNG PUTRI;32.01.02.2005;BOJONG NANGKA;TAMAT SMA/SEDERAJAT;2019;5
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201190.0;GUNUNG PUTRI;3201190003.0;TLAJUNG UDIK;32.01.02;GUNUNG PUTRI;32.01.02.2006;TLAJUNG UDIK;TAMAT SMA/SEDERAJAT;2019;6
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201190.0;GUNUNG PUTRI;3201190005.0;CICADAS;32.01.02;GUNUNG PUTRI;32.01.02.2007;CICADAS;TAMAT SMA/SEDERAJAT;2019;7
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201190.0;GUNUNG PUTRI;3201190007.0;CIKEAS UDIK;32.01.02;GUNUNG PUTRI;32.01.02.2008;CIKEAS UDIK;TAMAT SD/SEDERAJAT;2019;8
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201190.0;GUNUNG PUTRI;3201190008.0;NAGRAK;32.01.02;GUNUNG PUTRI;32.01.02.2009;NAGRAK;TAMAT SMP/SEDERAJAT;2019;9
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201190.0;GUNUNG PUTRI;3201190001.0;KARANGGAN;32.01.02;GUNUNG PUTRI;32.01.02.2010;KARANGGAN;TAMAT SMA/SEDERAJAT;2019;10
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201200.0;CITEUREUP;3201200014.0;PUSPASARI;32.01.03;CITEUREUP;32.01.03.2001;PUSPASARI;TAMAT SMA/SEDERAJAT;2019;11
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201200.0;CITEUREUP;3201200012.0;CITEUREUP;32.01.03;CITEUREUP;32.01.03.2002;CITEUREUP;TAMAT SMA/SEDERAJAT;2019;12
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201200.0;CITEUREUP;3201200006.0;LEUWINUTUG;32.01.03;CITEUREUP;32.01.03.2003;LEUWINUTUG;TAMAT SMP/SEDERAJAT;2019;13
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201200.0;CITEUREUP;3201200003.0;TAJUR;32.01.03;CITEUREUP;32.01.03.2004;TAJUR;TAMAT SD/SEDERAJAT;2019;14
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201200.0;CITEUREUP;3201200007.0;SANJA;32.01.03;CITEUREUP;32.01.03.2005;SANJA;TAMAT SMA/SEDERAJAT;2019;15
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201200.0;CITEUREUP;3201200009.0;KARANG ASEM TIMUR;32.01.03;CITEUREUP;32.01.03.2008;KARANG ASEM TIMUR;TAMAT SMA/SEDERAJAT;2019;16
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201200.0;CITEUREUP;3201200010.0;TARIKOLOT;32.01.03;CITEUREUP;32.01.03.2009;TARIKOLOT;TAMAT SMA/SEDERAJAT;2019;17
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201200.0;CITEUREUP;3201200011.0;GUNUNGSARI;32.01.03;CITEUREUP;32.01.03.2010;GUNUNGSARI;TAMAT SMP/SEDERAJAT;2019;18
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201200.0;CITEUREUP;3201200001.0;TANGKIL;32.01.03;CITEUREUP;32.01.03.2011;TANGKIL;TAMAT SD/SEDERAJAT;2019;19
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201200.0;CITEUREUP;3201200005.0;SUKAHATI;32.01.03;CITEUREUP;32.01.03.2012;SUKAHATI;TAMAT SD/SEDERAJAT;2019;20
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201200.0;CITEUREUP;3201200002.0;HAMBALANG;32.01.03;CITEUREUP;32.01.03.2013;HAMBALANG;TAMAT SD/SEDERAJAT;2019;21
32;JAWA BARAT;3201;KABUPATEN BOGOR;3201200.0;CITEUREUP;3201200004.0;PASIRMUKTI;32.01.03;CITEUREUP;32.01.03.2014;PASIRMUKTI;TAMAT SMP/SEDERAJAT;2019;22
