,OPER_CAP,SUMMER_CAP,WINTER_CAP,PLAN_CAP,RETIRE_CAP,GEN_UNITS,PLAN_UNIT,RETIR_UNIT,PRIM_FUEL,SEC_FUEL,COAL_USED,NGAS_USED,OIL_USED,CAP_FACTOR,LINES,NET_GEN
0,53.9,53.0,53.0,0.0,0.0,1,0,0,WAT,NOT AVAILABLE,0,0,0,0.299754459,1,139170.0
1,2569.5,2399.7,2430.7,774.0,272.0,10,2,1,NG,BIT,1292499,54793583,0,0.499451033,1,10499145.97
2,138.0,130.0,130.0,0.0,0.0,2,0,0,NG,NOT AVAILABLE,0,697629,0,0.044287847,1,50435.0
3,0.0,0.0,0.0,0.0,1416.7,0,0,5,BIT,NOT AVAILABLE,0,0,0,0.0,1,0.0
4,1288.4,1256.1,1400.1,0.0,0.0,11,0,0,NG,DFO,0,11412078,314,0.097346138,1,1071142.0
5,72.9,71.1,68.1,0.0,0.0,3,0,0,WAT,NOT AVAILABLE,0,0,0,0.43248624,1,269368.0
6,100.0,129.2,130.0,0.0,0.0,4,0,0,WAT,NOT AVAILABLE,0,0,0,0.518711919,0,587074.0
7,177.0,180.0,181.8,0.0,0.0,6,0,0,WAT,NOT AVAILABLE,0,0,0,0.445731228,1,702829.0
8,170.0,163.1,164.9,0.0,0.0,4,0,0,WAT,NOT AVAILABLE,0,0,0,0.45155016,1,645155.0
9,91.0,79.9,77.9,0.0,0.0,3,0,0,WAT,NOT AVAILABLE,0,0,0,0.428620822,1,300002.0
10,87.6,81.0,72.9,0.0,0.0,3,0,0,WAT,NOT AVAILABLE,0,0,0,0.410682677,1,291404.0
11,2034.0,1868.0,1872.0,0.0,0.0,6,0,0,NG,BIT,1054490,15105319,594,0.232034909,1,3796945.0
12,476.0,363.2,486.4,0.0,1350.0,8,0,5,BIT,NG,0,52807,435,0.000927826,1,2952.0
13,115.2,122.7,124.5,0.0,0.0,4,0,0,WAT,NOT AVAILABLE,0,0,0,0.875468437,1,940999.0
14,0.0,0.0,0.0,0.0,1968.6,0,0,8,BIT,NOT AVAILABLE,0,0,0,0.0,1,0.0
15,720.7,634.8,638.0,0.0,0.0,1,0,0,LIG,NOT AVAILABLE,614094,365785,0,0.119988354,1,667236.996
16,3.0,2.8,2.8,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.256441618,1,6290.0
17,1055.0,753.0,972.0,0.0,608.4,9,0,4,NG,BIT,0,3897872,815,0.047640337,1,314249.004
18,5.2,5.4,5.4,0.0,0.0,3,0,0,WAT,NOT AVAILABLE,0,0,0,0.117051412,1,5537.0
19,4.0,3.6,3.6,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.823249619,0,25962.0
20,4.4,4.4,4.4,0.0,0.0,8,0,0,DFO,WAT,0,0,2479,0.08971565,0,3458.0
21,77.9,62.4,68.1,0.0,43.5,3,0,5,NG,DFO,0,111973,344,0.013987677,0,7646.0
22,78.2,78.0,78.0,0.0,0.0,3,0,0,WAT,NOT AVAILABLE,0,0,0,0.414466983,0,283197.0
23,4.2,4.2,3.3,0.0,0.0,3,0,0,WAT,NOT AVAILABLE,0,0,0,0.657806045,0,24202.0
24,4.6,4.6,4.6,0.0,0.0,2,0,0,WAT,NOT AVAILABLE,0,0,0,0.170835815,0,6884.0
25,19.2,19.0,19.0,0.0,6.5,8,0,4,DFO,WND,0,0,44365,0.196407114,0,32690.0
26,14.5,12.4,12.4,0.0,0.3,8,0,1,DFO,WAT,0,0,1515,0.130185594,0,14141.28
27,8.5,8.5,8.5,0.0,6.2,4,0,6,DFO,NOT AVAILABLE,0,0,946,0.007843137,0,584.0
28,312.4,300.4,332.0,0.0,62.0,6,0,1,NG,NOT AVAILABLE,0,351043,0,0.006232558,0,16401.0
