,temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,high_cloud_cover_high_cld_lay,medium_cloud_cover_mid_cld_lay,low_cloud_cover_low_cld_lay,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,wind_speed_80_m_above_gnd,wind_direction_80_m_above_gnd,wind_speed_900_mb,wind_direction_900_mb,wind_gust_10_m_above_gnd,angle_of_incidence,zenith,azimuth
0,2.17,31,1035.0,0.0,0.0,0.0,0,0,0,0.0,6.37,312.71,9.36,22.62,6.62,337.62,24.48,58.753108,83.237322,128.33543
1,2.31,27,1035.1,0.0,0.0,0.0,0,0,0,1.78,5.15,294.78,5.99,32.74,4.61,321.34,21.96,45.408585,75.143041,139.6553
2,3.65,33,1035.4,0.0,0.0,0.0,0,0,0,108.58,4.68,270.0,3.89,56.31,3.76,286.7,14.04,32.848282,68.820648,152.53769
3,5.82,30,1035.4,0.0,0.0,0.0,0,0,0,258.1,3.6,323.13,3.55,23.96,3.08,339.44,19.8,22.699288,64.883536,166.90159
4,7.73,27,1034.4,0.0,0.0,0.0,0,0,0,375.58,6.21,10.01,6.76,25.2,6.62,22.38,16.56,19.199908,63.795208,182.13526
5,8.69,29,1034.6,0.0,0.0,0.0,0,0,0,449.45,6.29,23.63,7.1,30.47,6.92,27.9,17.28,25.088167,65.70086,197.22062
6,9.72,27,1034.0,0.0,0.0,0.0,0,0,0,469.92,5.96,25.02,6.61,29.36,6.44,26.57,12.96,36.197514,70.351498,211.21422
7,10.07,28,1034.1,0.0,0.0,0.0,0,0,0,436.99,7.07,14.74,7.63,19.29,7.52,16.7,10.8,49.073008,77.228779,223.65641
8,9.38,32,1033.9,0.0,0.0,0.0,0,0,0,353.33,9.42,6.58,10.5,5.91,10.14,6.12,11.52,62.37114,85.585411,234.50308
9,6.54,47,1035.1,0.0,0.0,0.0,0,0,0,228.73,7.92,360.0,12.25,1.68,11.53,1.79,12.24,105.86656,121.46318,216.06756
10,2.18,24,1038.5,0.0,0.0,0.9,3,0,0,0.0,7.15,229.09,5.77,93.58,2.31,141.34,19.08,58.845824,83.242237,128.19736
